sr_no,age_group,gender,residential_area,education_level,employment_status,monthly_income,current_brand,model_name,current_price_range,usage_duration,purchase_source,top_3_reasons,most_used_feature,upgrade_frequency,purchase_preference,resale_consideration,satisfaction,next_brand_preference,next_priority,next_budget,foldable_interest,indian_brand_preference
90,18 - 25,Male,Rural,Post-graduation & Above,Self-Employed,"10,000 - 25,000",Vivo,vivo v29,"20,000 - 40,000",Less than 6 months,Local Retail Store,"Battery life, Storage & RAM, Price & affordability",Camera,Every 2 years,Whichever gives the best deal,No,No,Samsung,Software updates & longevity,"10,000 - 20,000",No,Yes
91,26 - 35,Male,Urban,Graduation,Unemployed,"25,000 - 50,000",Samsung,samsung,"Below 10,000",Less than 6 months,Brand Outlet/Showroom,"Display quality, Battery life, Storage & RAM",Web browsing ,Only when my phone stops working,Brand Showroom,No,Yes,Vivo,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Yes
92,26 - 35,Female,Rural,Below 10th,Employed,"50,000 - 1,00,000",Apple,iphonee 16,"40,000 - 70,000",1 - 3 years,Online,"Storage & RAM, Brand reputation, Software & UI Experience",Gaming,Only when my phone stops working,Brand Showroom,No,No,Apple,Budget/ Price,"40,000 - 70,000",No,Yes
93,26 - 35,Female,Rural,Below 10th,Student,"Below 10,000",Vivo,v2336,"10,000 - 20,000",More than 3 years,Local Retail Store,"Storage & RAM, Price & affordability, Brand reputation",Office works,Every 2 years,Online,No,Yes,Samsung,Budget/ Price,"20,000 - 40,000",Yes,Yes
94,36 - 50,Male,Rural,10th - 12th,Self-Employed,"10,000 - 25,000",Oppo,oppo a54,"20,000 - 40,000",More than 3 years,Online,"Storage & RAM, Display quality, Camera quality",Communication,Every 3+ years,Brand Showroom,Yes,Yes,Vivo,Software updates & longevity,"Below 10,000",Yes,No
95,36 - 50,Female,Urban,10th - 12th,Student,"Below 10,000",Motorola,motorola,"10,000 - 20,000",Less than 6 months,Brand Outlet/Showroom,"Brand reputation, 5G support, Software & UI Experience",Communication,Every 2 years,Offline (Retail Store),No,Yes,Oppo,Brand reputation,"10,000 - 20,000",Maybe,No
96,36 - 50,Male,Urban,Post-graduation & Above,Unemployed,"50,000 - 1,00,000",OnePlus,one plus nord 5,"40,000 - 70,000",More than 3 years,Second hand,"Battery life, Display quality, Storage & RAM",Social media,Only when my phone stops working,Online,No,No,Google,Software updates & longevity,"20,000 - 40,000",No,Yes
97,18 - 25,Male,Rural,Post-graduation & Above,Student,"10,000 - 25,000",Xiaomi,redmi 9 prime,"Below 10,000",1 - 3 years,Local Retail Store,"Processor performance, Brand reputation, Software & UI Experience",Camera,Every year,Whichever gives the best deal,No,Yes,Samsung,Software updates & longevity,"40,000 - 70,000",No,No
98,18 - 25,Male,Rural,Below 10th,Self-Employed,"Below 10,000",Vivo,vivo,"10,000 - 20,000",1 - 3 years,Online,"Processor performance, 5G support, Software & UI Experience",Social media,Every 3+ years,Online,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Yes,No
99,26 - 35,Female,Rural,Graduation,Self-Employed,"10,000 - 25,000",Samsung,samsung,"10,000 - 20,000",Less than 6 months,Brand Outlet/Showroom,"Battery life, Storage & RAM, Price & affordability",Communication,Every 2 years,Offline (Retail Store),Yes,No,Google,Brand reputation,"Below 10,000",Maybe,Doesn't matter
100,18 - 25,Female,Urban,Post-graduation & Above,Unemployed,"50,000 - 1,00,000",Oppo,oppo a54,"40,000 - 70,000",1 - 3 years,Online,"Camera quality, Battery life, Processor performance",Communication,Every year,Online,No,No,Google,Budget/ Price,"10,000 - 20,000",Maybe,Yes
101,18 - 25,Female,Rural,10th - 12th,Employed,"25,000 - 50,000",Oppo,oppo,"Below 10,000",More than 3 years,Online,"Display quality, Brand reputation, Software & UI Experience",Social media,Every year,,,,,,,,
102,36 - 50,Female,Rural,Below 10th,Student,"Below 10,000",Nokia,redmi note. 6 pro,"20,000 - 40,000",Less than 6 months,Online,"Camera quality, Processor performance, Display quality, Price & affordability, Brand reputation, 5G support",Web browsing,Every 2 years,Offline (Retail Store),Yes,Yes,Oppo,Brand reputation,"10,000 - 20,000",Maybe,Doesn't matter
103,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Xiaomi,redmi,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience, After-Sales Service",Social media,Every 2 years,Offline (Retail Store),Yes,No,Unknown,Software updates & longevity,"20,000 - 40,000",Maybe,Yes
104,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi note 6 pro,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Storage & RAM, Brand reputation",Web browsing,Only when my phone stops working,Offline (Retail Store),Yes,Yes,OnePlus,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,Yes
105,18 - 25,Male,Rural,Graduation,Self-Employed,"25,000 - 50,000",Oppo,,"Below 10,000",More than 3 years,Local Retail Store,After-Sales Service,Other,Only when my phone stops working,Whichever gives the best deal,Yes,No,Unknown,Budget/ Price,"Below 10,000",Yes,Yes
106,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Realme,realme 5- pro,"10,000 - 20,000",More than 3 years,Online,"Camera quality, Storage & RAM, Price & affordability",Communication,Only when my phone stops working,Online,No,Yes,Realme,5G support,"20,000 - 40,000",Yes,Yes
107,18 - 25,Male,Rural,Post-graduation & Above,Employed,"10,000 - 25,000",Oppo,oppo f27 pro plus 5 g,"20,000 - 40,000",More than 3 years,Local Retail Store,"Camera quality, Price & affordability, 5G support",Office works,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Oppo,5G support,"20,000 - 40,000",Yes,Doesn't matter
108,18 - 25,Female,Urban,Post-graduation & Above,Employed,"10,000 - 25,000",Realme,realme 7i,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Storage & RAM, Price & affordability",Camera,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",Maybe,Yes
109,18 - 25,Male,Rural,Graduation,Student,"Below 10,000",Realme,realme 8 5g,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance, Brand reputation, 5G support",Social media,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Motorola,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,Doesn't matter
110,18 - 25,Female,Urban,Graduation,Student,"Below 10,000",Samsung,samsung galaxy m02s,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation",Communication,Every 2 years,Whichever gives the best deal,Yes,No,OnePlus,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,Doesn't matter
111,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi note 10t 5g,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Storage & RAM, 5G support",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
112,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi9prime,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Price & affordability, Brand reputation",Other,Every year,Online,Yes,Yes,Samsung,"Features (camera, battery, performance, etc)","Above 70,000",Maybe,Doesn't matter
113,Below 18,Male,Rural,10th - 12th,Student,"25,000 - 50,000",Samsung,,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, 5G support, Software & UI Experience",Gaming,Every 2 years,Online,Yes,No,Unknown,Budget/ Price,"10,000 - 20,000",No,Yes
114,18 - 25,Female,Urban,Graduation,Student,"10,000 - 25,000",Oppo,oppo a77,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Display quality, Storage & RAM",Other,Every 3+ years,Brand Showroom,No,Yes,OnePlus,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,Doesn't matter
115,18 - 25,Female,Rural,10th - 12th,Student,"25,000 - 50,000",Vivo,vivo y16,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Display quality, Storage & RAM",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Doesn't matter
116,26 - 35,Male,Urban,Post-graduation & Above,Employed,"Above 1,00,000",Realme,realme 6i,"10,000 - 20,000",More than 3 years,Online,"Camera quality, Battery life, Display quality, Price & affordability",Communication,Every 3+ years,Online,No,Yes,Apple,Brand reputation,"Above 70,000",No,Doesn't matter
117,18 - 25,Female,Urban,Graduation,Student,"50,000 - 1,00,000",Xiaomi,m2006,"10,000 - 20,000",1 - 3 years,Online,"Battery life, Display quality, Storage & RAM",Communication,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,5G support,"40,000 - 70,000",Maybe,Doesn't matter
118,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Vivo,vivo y200e 5g,"20,000 - 40,000",6 months - 1 year,Local Retail Store,"Camera quality, Processor performance, Storage & RAM",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Doesn't matter
119,18 - 25,Female,Rural,Graduation,Student,"Below 10,000",Vivo,vivo y28e 5g,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Camera quality, Battery life, Storage & RAM, 5G support",Camera,Every year,Offline (Retail Store),Yes,Yes,Apple,Brand reputation,"10,000 - 20,000",Yes,Yes
120,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Realme,realme c53,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Storage & RAM",Social media,Every year,Brand Showroom,Yes,Yes,Apple,5G support,"20,000 - 40,000",Yes,Yes
121,18 - 25,Male,Rural,Graduation,Student,"25,000 - 50,000",Vivo,vivo v40,"10,000 - 20,000",More than 3 years,Local Retail Store,"Battery life, Display quality, 5G support",Social media,Every year,Offline (Retail Store),Yes,Yes,Apple,5G support,"20,000 - 40,000",,
122,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Vivo,y20,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, Brand reputation, After-Sales Service",Social media,Every year,Offline (Retail Store),Yes,Yes,Apple,Budget/ Price,"10,000 - 20,000",Maybe,Doesn't matter
123,18 - 25,Female,Rural,Graduation,Employed,"10,000 - 25,000",Other,redmi note 7 pro,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability",Office works,Every year,Offline (Retail Store),Yes,Yes,OnePlus,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Doesn't matter
124,18 - 25,Female,Rural,Graduation,Student,"Below 10,000",Oppo,m6 5g pro,"Below 10,000",Less than 6 months,Online,5G support,Social media,Only when my phone stops working,Online,Yes,Yes,Apple,5G support,"Below 10,000",Yes,
125,Below 18,Female,Urban,Graduation,Student,"Below 10,000",Vivo,vivo 1802,"Above 70,000",More than 3 years,Brand Outlet/Showroom,"Battery life, Storage & RAM, Brand reputation",Social media,Every year,Brand Showroom,Yes,Yes,Vivo,5G support,"Above 70,000",Yes,Yes
126,26 - 35,Female,Rural,10th - 12th,Self-Employed,"10,000 - 25,000",Samsung,samsung f554,"20,000 - 40,000",More than 3 years,Online,Battery life,Office works,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Unknown,Software updates & longevity,"20,000 - 40,000",Yes,Yes
127,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Xiaomi,redmi 9 prime,"10,000 - 20,000",1 - 3 years,Online,"Battery life, Display quality, Storage & RAM",Communication,Only when my phone stops working,Online,No,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
128,26 - 35,Male,Rural,Post-graduation & Above,Self-Employed,"25,000 - 50,000",OnePlus,nord ce,"20,000 - 40,000",6 months - 1 year,Local Retail Store,"Processor performance, Storage & RAM, 5G support",Office works,Every year,Offline (Retail Store),Yes,Yes,OnePlus,5G support,"20,000 - 40,000",Yes,Yes
129,18 - 25,Male,Rural,Graduation,Student,"50,000 - 1,00,000",Motorola,g64 5g,"10,000 - 20,000",Less than 6 months,Online,"Camera quality, Processor performance, Display quality, Storage & RAM, Brand reputation, 5G support, After-Sales Service",Social media,Only when my phone stops working,Online,Yes,Yes,Samsung,Budget/ Price,"20,000 - 40,000",No,Doesn't matter
130,36 - 50,Male,Urban,Post-graduation & Above,Employed,"Above 1,00,000",Realme,realme 10 pro 5g,"10,000 - 20,000",1 - 3 years,Online,"Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support",Communication,Every year,Online,No,Yes,Unknown,Budget/ Price,"20,000 - 40,000",No,Yes
131,18 - 25,Female,Urban,Graduation,Employed,"Below 10,000",Xiaomi,redmi 9 prime,"Below 10,000",More than 3 years,Online,"Camera quality, Battery life, Display quality",Social media,Only when my phone stops working,Brand Showroom,Yes,Yes,Google,Brand reputation,"20,000 - 40,000",No,No
132,18 - 25,Male,Rural,Post-graduation & Above,Employed,"25,000 - 50,000",Realme,y3,"Below 10,000",More than 3 years,Local Retail Store,"Battery life, Processor performance, Storage & RAM",Web browsing,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Vivo,Performance & Speed,"20,000 - 40,000",Yes,Yes
133,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Vivo,,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Storage & RAM",Social media,Every 3+ years,Whichever gives the best deal,Yes,Yes,Apple,5G support,"40,000 - 70,000",Yes,Yes
134,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Vivo,vivo y200e 5g,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience, After-Sales Service",Social media,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Vivo,Budget/ Price,"10,000 - 20,000",Yes,No
135,18 - 25,Female,Rural,Graduation,Student,"Below 10,000",Realme,realme 8i,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Storage & RAM, Price & affordability",Camera,Every year,Online,No,Yes,Samsung,5G support,"10,000 - 20,000",Yes,Doesn't matter
136,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi note 12 pro max,"10,000 - 20,000",6 months - 1 year,Online,"Camera quality, Battery life, Processor performance",Social media,Only when my phone stops working,Online,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Doesn't matter
137,26 - 35,Male,Rural,Graduation,Employed,"Above 1,00,000",Samsung,a 50,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation",Communication,Every year,Brand Showroom,Yes,Yes,Samsung,Brand reputation,"20,000 - 40,000",No,Yes
138,18 - 25,Male,Rural,Graduation,Student,"25,000 - 50,000",Other,poco,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Camera quality, Battery life, Storage & RAM, Price & affordability, 5G support",Gaming,Every year,Offline (Retail Store),Yes,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Yes,Yes
139,Below 18,Male,Urban,10th - 12th,Student,"25,000 - 50,000",Oppo,oppo a1k,"Above 70,000",1 - 3 years,Brand Outlet/Showroom,Storage & RAM,Other,Only when my phone stops working,Brand Showroom,No,Yes,Samsung,"Features (camera, battery, performance, etc)","Above 70,000",Maybe,Doesn't matter
140,18 - 25,Female,Urban,Graduation,Student,"10,000 - 25,000",Xiaomi,redmi 13c,"10,000 - 20,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Storage & RAM, 5G support",Social media,Every year,Brand Showroom,Yes,Yes,Apple,Budget/ Price,"20,000 - 40,000",Yes,Doesn't matter
141,18 - 25,Male,Rural,Post-graduation & Above,Self-Employed,"50,000 - 1,00,000",Vivo,vivo v14,"20,000 - 40,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Processor performance, Storage & RAM",Office works,Only when my phone stops working,Brand Showroom,Yes,Yes,Apple,5G support,"Above 70,000",Yes,Doesn't matter
142,18 - 25,Female,Urban,10th - 12th,Student,"25,000 - 50,000",Realme,realme 10 pro,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, Display quality, Storage & RAM, Brand reputation",Camera,Every year,Whichever gives the best deal,Yes,Yes,Samsung,Performance & Speed,"10,000 - 20,000",Yes,No
143,Below 18,Male,Rural,Graduation,Student,"Below 10,000",Oppo,oppo k12x,"10,000 - 20,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Battery life, 5G support",Camera,Every year,Brand Showroom,Yes,Yes,Oppo,Budget/ Price,"10,000 - 20,000",Yes,Yes
144,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi 10 a,"Below 10,000",1 - 3 years,Online,Battery life,Social media,Only when my phone stops working,Online,Yes,Yes,Samsung,Software updates & longevity,"20,000 - 40,000",Maybe,Doesn't matter
145,18 - 25,Male,Rural,Post-graduation & Above,Employed,"10,000 - 25,000",Other,poco m3,"10,000 - 20,000",1 - 3 years,Online,"Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, 5G support, Software & UI Experience",Web browsing,Only when my phone stops working,Online,No,Yes,Poco,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,Yes
146,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Xiaomi,redmi,"Below 10,000",1 - 3 years,Local Retail Store,"Camera quality, Storage & RAM, 5G support",Social media,Every 2 years,Offline (Retail Store),Yes,Yes,Apple,Budget/ Price,"20,000 - 40,000",Yes,Yes
147,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Oppo,a 17,"10,000 - 20,000",1 - 3 years,Online,Price & affordability,Gaming,Only when my phone stops working,Offline (Retail Store),No,Yes,Redmi,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Doesn't matter
148,26 - 35,Male,Rural,Graduation,Employed,"Above 1,00,000",Apple,16pro max,"Above 70,000",Less than 6 months,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Brand reputation, 5G support",Office works,Only when my phone stops working,Whichever gives the best deal,No,Yes,Apple,Performance & Speed,"Above 70,000",Maybe,Yes
149,18 - 25,Male,Rural,Graduation,Self-Employed,"10,000 - 25,000",Xiaomi,redmi note 13 pro plus,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Battery life, Processor performance, Storage & RAM",Camera,Every 2 years,Offline (Retail Store),Yes,Yes,Redmi,5G support,"20,000 - 40,000",Yes,Yes
150,18 - 25,Female,Urban,10th - 12th,Student,"10,000 - 25,000",Vivo,vivo t2x 5g,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Storage & RAM",Web browsing,Every 2 years,Offline (Retail Store),No,Yes,Realme,Budget/ Price,"10,000 - 20,000",Maybe,Yes
151,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",OnePlus,one plus c3 light,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Storage & RAM, Price & affordability, 5G support, Software & UI Experience",Communication,Only when my phone stops working,Brand Showroom,Yes,Yes,Apple,Performance & Speed,"20,000 - 40,000",No,Doesn't matter
152,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Realme,realme x7 5g,"20,000 - 40,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Storage & RAM, 5G support",Camera,Every year,Offline (Retail Store),Yes,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Yes,Yes
153,18 - 25,Male,Urban,Post-graduation & Above,Employed,"10,000 - 25,000",Oppo,oppo f17 pro,"20,000 - 40,000",More than 3 years,Second hand,"Battery life, Processor performance, Storage & RAM",Communication,Only when my phone stops working,Online,No,Yes,Apple,5G support,"40,000 - 70,000",No,Yes
154,18 - 25,Male,Rural,Graduation,Student,"25,000 - 50,000",OnePlus,one plus,"20,000 - 40,000",Less than 6 months,Online,"Camera quality, Battery life, Storage & RAM",Camera,Every year,Offline (Retail Store),Yes,Yes,Unknown,Budget/ Price,"Below 10,000",Yes,Yes
155,26 - 35,Male,Rural,Graduation,Employed,"10,000 - 25,000",Samsung,a35,"20,000 - 40,000",Less than 6 months,Local Retail Store,"Camera quality, Processor performance, Software & UI Experience",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Unknown,Budget/ Price,"20,000 - 40,000",Yes,Doesn't matter
156,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Xiaomi,redmi 12c,"Below 10,000",6 months - 1 year,Online,"Battery life, Processor performance, Storage & RAM, Price & affordability",Communication,Only when my phone stops working,Online,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Doesn't matter
157,18 - 25,Male,Rural,10th - 12th,Student,"Below 10,000",Motorola,moto g34 5g,"10,000 - 20,000",More than 3 years,Local Retail Store,5G support,Other,Every year,Offline (Retail Store),Yes,Yes,Unknown,Brand reputation,"40,000 - 70,000",Yes,Yes
158,26 - 35,Female,Urban,Post-graduation & Above,Self-Employed,"Above 1,00,000",Apple,iphonee 13,"40,000 - 70,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Brand reputation, After-Sales Service",Communication,Every 3+ years,Whichever gives the best deal,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,No
159,18 - 25,Female,Rural,Post-graduation & Above,Employed,"Below 10,000",Xiaomi,redmi,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Price & affordability",Other,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,OnePlus,Brand reputation,"20,000 - 40,000",Maybe,Yes
160,18 - 25,Male,Rural,Graduation,Student,"Below 10,000",Oppo,ओप्पो के 12 एक्स,"10,000 - 20,000",More than 3 years,Local Retail Store,Camera quality,Communication,Every 2 years,Online,Yes,Yes,Unknown,Budget/ Price,"Below 10,000",Yes,Yes
161,Below 18,Male,Rural,10th - 12th,Student,"Below 10,000",Other,n61,"Below 10,000",Less than 6 months,Online,5G support,Other,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Unknown,Budget/ Price,"Below 10,000",Yes,Yes
162,18 - 25,Female,Urban,Graduation,Student,"Above 1,00,000",Vivo,y56 5g,"20,000 - 40,000",6 months - 1 year,Brand Outlet/Showroom,"Storage & RAM, Price & affordability, 5G support",Social media,Every year,Brand Showroom,No,No,Samsung,Performance & Speed,"20,000 - 40,000",Yes,No
163,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Realme,realme c25s,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM, Price & affordability, Brand reputation, After-Sales Service",Communication,Only when my phone stops working,Brand Showroom,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","10,000 - 20,000",Maybe,No
164,18 - 25,Female,Urban,Graduation,Student,"25,000 - 50,000",Vivo,vivo y21,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Storage & RAM, Price & affordability",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Yes
165,18 - 25,Female,Urban,Graduation,Student,"10,000 - 25,000",Xiaomi,redmi 13 c,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Storage & RAM, Price & affordability, Brand reputation, 5G support, Software & UI Experience",Other,Every 3+ years,Offline (Retail Store),Yes,Yes,OnePlus,Brand reputation,"20,000 - 40,000",Yes,No
166,18 - 25,Male,Urban,Graduation,Student,"Above 1,00,000",Motorola,moto edge 50 pro,"20,000 - 40,000",6 months - 1 year,Online,"Processor performance, Display quality, Storage & RAM",Social media,Every 2 years,Online,No,Yes,Samsung,Performance & Speed,"40,000 - 70,000",Yes,No
167,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Samsung,samsung f54,"20,000 - 40,000",6 months - 1 year,Brand Outlet/Showroom,"Battery life, Display quality, Brand reputation",Other,Every 2 years,Brand Showroom,Yes,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,No
168,18 - 25,Male,Urban,10th - 12th,Student,"10,000 - 25,000",Realme,realme narzo 30,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance, Display quality, Storage & RAM",Gaming,Only when my phone stops working,Offline (Retail Store),Yes,No,Vivo,Brand reputation,"20,000 - 40,000",No,
169,18 - 25,Female,Rural,Graduation,Student,"Above 1,00,000",Xiaomi,redmi 9,"Below 10,000",More than 3 years,Local Retail Store,Storage & RAM,Communication,Only when my phone stops working,Offline (Retail Store),Yes,No,Samsung,Brand reputation,"Below 10,000",,Yes
170,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",OnePlus,oneplus nord ce 2 lite 5g,"20,000 - 40,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, 5G support",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Apple,5G support,"20,000 - 40,000",Maybe,No
171,26 - 35,Female,Urban,Graduation,Student,"10,000 - 25,000",Oppo,oppo12,"Below 10,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Display quality, 5G support",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Apple,5G support,"10,000 - 20,000",Maybe,No
172,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Realme,realme c53,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Storage & RAM",Social media,Only when my phone stops working,Whichever gives the best deal,Yes,Yes,Apple,Performance & Speed,"40,000 - 70,000",Yes,Yes
173,18 - 25,Female,Urban,10th - 12th,Student,"25,000 - 50,000",Xiaomi,redmi 9,"Below 10,000",More than 3 years,Local Retail Store,Price & affordability,Communication,Only when my phone stops working,Offline (Retail Store),Yes,No,Samsung,Brand reputation,"Above 70,000",Yes,Yes
174,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Vivo,vivo y21,"10,000 - 20,000",More than 3 years,Local Retail Store,Price & affordability,Social media,Only when my phone stops working,Whichever gives the best deal,No,No,Apple,Budget/ Price,"40,000 - 70,000",Yes,Yes
175,18 - 25,Female,Rural,Graduation,Self-Employed,"Below 10,000",Motorola,,"10,000 - 20,000",6 months - 1 year,Online,"Battery life, Processor performance, 5G support",Web browsing,Every 2 years,Online,Yes,Yes,Apple,Budget/ Price,"20,000 - 40,000",Yes,Yes
176,Below 18,Female,Urban,Graduation,Student,"Below 10,000",Oppo,tecno pop 8,"Below 10,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Processor performance",Web browsing,Only when my phone stops working,Offline (Retail Store),No,No,Oppo,Budget/ Price,"Below 10,000",Maybe,No
177,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Vivo,y20,"10,000 - 20,000",More than 3 years,Local Retail Store,Price & affordability,Social media,Only when my phone stops working,Offline (Retail Store),No,No,Samsung,"Features (camera, battery, performance, etc)","Above 70,000",No,No
178,18 - 25,Male,Urban,Graduation,Student,"Below 10,000",Motorola,motorola g85,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Camera quality, Processor performance, 5G support",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,Performance & Speed,"20,000 - 40,000",Yes,No
